"Population and dwelling counts: Canada and forward sortation areas © 1"
"Frequency: Occasional"
"Table: 98-10-0019-01"
"Release date: 2023-03-29"
"Geography: Canada, Forward sortation area"
"Universe: All persons, 2021 Census – 100% data"
"Variable List: Population and dwelling counts (3)"

"Population and dwelling counts (3)","Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021"
"B3P","11,389","4,881","4,706"
"B3R","9,500","4,323","4,153"
"B3S","13,818","6,431","6,285"
"B3T","17,777","7,098","6,841"
"B3V","6,136","2,615","2,509"
"B3Z","17,841","7,150","6,715"
"B4A","18,541","7,719","7,463"
"B4B","19,570","7,566","7,075"
"B4C","18,425","7,743","7,583"
"B4E","19,718","7,752","7,609"
"B4G","5,430","1,941","1,906"
"B4H","13,723","7,582","6,383"
"B4N","18,024","8,462","8,122"
"B4P","8,780","4,636","4,040"
"B4R","2,858","1,198","1,175"
"B4V","20,376","10,281","9,310"
"B5A","16,753","8,573","7,624"
"B6L","12,989","5,596","5,354"
"B9A","4,472","2,165","1,973"
"C0A","48,140","24,365","19,417"
"C0B","29,902","15,557","12,414"
"C1A","25,861","13,091","12,069"
"C1B","14,817","6,275","5,794"
"C1C","5,239","2,308","2,216"
"C1E","12,681","5,122","4,846"
"C1N","17,691","8,216","7,814"
"E1A","48,336","21,632","20,536"
"E1B","20,584","8,797","8,651"
"E1C","25,834","13,511","12,464"
"E1E","11,936","5,578","5,340"
"E1G","24,784","9,625","9,362"
"E1H","7,883","3,463","3,376"
"E1J","3,736","1,493","1,451"
"E1N","11,333","5,519","5,078"
"E1V","13,811","6,533","6,096"
"E1W","6,940","3,616","3,283"
"E1X","14,082","6,648","6,260"
"E2A","17,408","9,041","8,162"
"E2E","19,840","7,799","7,605"
"E2G","5,528","2,121","2,081"
"E2H","4,748","1,971","1,914"
"E2J","16,058","7,698","7,417"
"E2K","18,798","8,968","8,302"
"E2L","8,221","5,228","4,598"
"E2M","18,836","8,653","8,256"
"E2N","4,310","1,772","1,721"
"E2P","1,337","570","556"
"E2R","10","5","5"
"E2S","6,970","2,831","2,727"
"E2V","14,545","6,091","5,782"
"E3A","29,462","13,097","12,701"
"E3B","39,788","18,861","17,818"
"E3C","12,321","5,018","4,907"
"E3E","4,719","1,808","1,770"
"E3G","9,122","3,632","3,565"
"E3L","8,439","4,141","3,757"
"E3N","13,467","6,640","6,186"
"E3V","12,142","6,094","5,733"
"E3Y","7,113","3,233","3,102"
"E3Z","3,965","1,985","1,861"
"E4A","3,001","1,752","1,472"
"E4B","4,263","2,549","2,000"
"E4C","2,451","1,840","1,118"
"E4E","9,163","4,430","4,085"
"E4G","2,714","1,178","1,108"
"E4H","4,208","2,087","1,855"
"E4J","5,001","2,141","2,061"
"E4K","6,398","2,602","2,500"
"E4L","7,746","3,785","3,362"
"E4M","1,937","1,466","901"
"E4N","3,895","1,888","1,637"
"E4P","15,900","8,020","6,928"
"E4R","6,883","4,013","3,085"
"E4S","7,276","3,645","3,207"
"E4T","2,192","1,138","990"
"E4V","4,518","2,031","1,869"
"E4W","8,603","4,195","3,738"
"E4X","3,090","1,435","1,339"
"E4Y","3,059","1,526","1,395"
"E4Z","5,871","2,803","2,460"
"E5A","1,622","826","719"
"E5B","3,331","1,808","1,502"
"E5C","4,356","2,146","1,876"
"E5E","949","612","423"
"E5G","2,734","1,514","1,247"
"E5H","2,912","1,326","1,227"
"E5J","2,112","1,122","945"
"E5K","7,261","3,047","2,907"
"E5L","2,902","1,337","1,232"
"E5M","2,170","1,079","943"
"E5N","12,263","5,222","4,892"
"E5P","2,682","1,113","1,033"
"E5R","1,517","785","688"
"E5S","1,887","1,002","837"
"E5T","3,149","1,739","1,307"
"E5V","718","475","344"
"E6A","1,237","608","512"
"E6B","1,574","740","662"
"E6C","2,104","952","885"
"E6E","1,492","770","666"
"E6G","2,655","1,348","1,182"
"E6H","1,216","906","570"
"E6J","1,234","645","566"
"E6K","4,086","2,241","1,793"
"E6L","4,823","2,104","1,980"
"E7A","3,705","1,949","1,724"
"E7B","5,641","2,609","2,487"
"E7C","5,061","2,406","2,316"
"E7E","4,097","1,949","1,828"
"E7G","3,621","1,970","1,662"
"E7H","5,601","2,727","2,457"
"E7J","1,904","904","836"
"E7K","2,406","1,074","1,027"
"E7L","5,099","2,389","2,174"
"E7M","10,438","4,672","4,452"
"E7N","3,157","1,419","1,247"
"E7P","3,471","1,537","1,438"
"E8A","3,644","1,702","1,608"
"E8B","2,305","1,107","1,056"
"E8C","3,699","1,884","1,721"
"E8E","5,117","2,486","2,305"
"E8G","2,468","1,469","1,289"
"E8J","5,624","2,663","2,494"
"E8K","8,712","4,193","3,917"
"E8L","2,256","1,070","1,019"
"E8M","2,021","980","925"
"E8N","2,396","1,454","1,213"
"E8P","3,408","1,680","1,520"
"E8R","3,125","1,586","1,445"
"E8S","4,610","2,299","2,069"
"E8T","5,713","3,016","2,669"
"E9A","2,229","1,149","1,025"
"E9B","2,274","1,167","990"
"E9C","2,149","1,213","1,023"
"E9E","3,870","1,932","1,715"
"E9G","5,297","2,421","2,239"
"E9H","2,931","1,407","1,290"
"G0A","83,411","42,396","36,334"
"G0C","45,955","23,601","21,675"
"G0E","4,630","2,907","2,323"
"G0G","16,315","8,853","6,959"
"G0H","10,538","5,445","4,761"
"G0J","29,007","16,469","13,804"
"G0K","11,722","6,581","5,396"
"G0L","60,937","32,170","27,385"
"G0M","34,401","16,844","14,953"
"G0N","19,994","10,918","9,097"
"G0P","6,786","3,418","2,928"
"G0R","84,338","43,153","37,733"
"G0S","72,494","32,475","30,343"
"G0T","13,560","7,759","6,495"
"G0V","18,374","10,207","8,068"
"G0W","36,541","18,298","15,134"
"G0X","60,486","33,235","27,708"
"G0Y","9,320","5,875","4,362"
"G0Z","8,974","4,289","3,920"
"G1B","16,698","6,762","6,626"
"G1C","36,215","16,886","16,394"
"G1E","27,753","14,733","14,031"
"G1G","24,975","11,493","11,206"
"G1H","29,618","15,572","14,939"
"G1J","23,325","14,182","13,227"
"G1K","18,911","12,884","11,435"
"G1L","22,024","13,773","12,769"
"G1M","20,770","10,538","10,025"
"G1N","8,400","5,363","4,996"
"G1P","16,538","8,450","8,071"
"G1R","16,423","12,386","10,464"
"G1S","25,912","14,792","13,656"
"G1T","6,797","2,937","2,792"
"G1V","23,629","15,426","12,271"
"G1W","22,499","11,121","10,476"
"G1X","26,746","13,699","12,979"
"G1Y","12,738","5,703","5,484"
"G2A","15,350","6,729","6,528"
"G2B","24,936","11,616","11,263"
"G2C","12,283","6,191","5,912"
"G2E","21,054","9,337","9,111"
"G2G","10,790","4,911","4,773"
"G2J","3,223","1,885","1,772"
"G2K","12,845","6,994","6,430"
"G2L","14,609","6,939","6,669"
"G2M","5,625","2,306","2,256"
"G2N","8,486","3,600","3,495"
"G3A","20,233","8,604","8,286"
"G3B","8,315","3,268","3,133"
"G3C","10,434","4,723","4,161"
"G3E","16,115","6,379","6,270"
"G3G","10,026","4,179","4,070"
"G3H","10,142","4,352","4,186"
"G3J","10,635","4,697","4,530"
"G3K","20,396","8,121","7,961"
"G3L","11,103","5,743","4,970"
"G3M","7,436","3,410","3,300"
"G3N","11,114","5,037","4,473"
"G3S","6,647","2,511","2,397"
"G3Z","7,371","3,782","3,427"
"G4A","3,063","1,489","1,428"
"G4R","20,327","10,109","8,958"
"G4S","4,931","2,266","2,159"
"G4T","12,654","6,665","5,830"
"G4V","6,288","3,463","3,121"
"G4W","13,988","7,483","6,997"
"G4X","15,063","7,352","6,780"
"G4Z","9,389","4,782","4,379"
"G5A","8,283","4,582","3,843"
"G5B","5,976","2,919","2,642"
"G5C","11,390","5,547","5,231"
"G5H","6,974","3,433","3,257"
"G5J","6,010","3,035","2,855"
"G5L","28,733","15,887","14,824"
"G5M","8,829","3,884","3,802"
"G5N","8,375","3,657","3,525"
"G5R","20,118","10,045","9,482"
"G5T","2,884","1,518","1,385"
"G5V","10,999","5,801","5,464"
"G5X","6,181","2,874","2,722"
"G5Y","23,088","11,764","11,252"
"G5Z","7,603","3,408","3,281"
"G6A","2,546","1,000","993"
"G6B","8,404","4,432","4,052"
"G6C","7,959","3,512","3,382"
"G6E","13,110","5,618","5,489"
"G6G","20,356","10,330","9,609"
"G6H","7,097","3,413","3,208"
"G6J","10,627","4,358","4,256"
"G6K","8,237","3,236","3,191"
"G6L","15,293","7,452","7,003"
"G6P","29,578","15,475","14,480"
"G6R","4,702","1,834","1,797"
"G6S","5,384","2,370","2,205"
"G6T","11,201","4,647","4,558"
"G6V","32,034","16,976","15,915"
"G6W","25,242","12,252","11,837"
"G6X","9,307","4,796","4,625"
"G6Y","7,232","3,071","2,995"
"G6Z","23,582","9,564","9,392"
"G7A","25,429","10,423","10,142"
"G7B","17,614","8,450","8,075"
"G7G","16,414","7,383","7,168"
"G7H","28,684","15,376","14,395"
"G7J","14,443","7,388","7,078"
"G7K","762","381","374"
"G7N","6,389","2,739","2,629"
"G7P","7,418","3,278","3,097"
"G7S","19,807","8,818","8,550"
"G7T","1,640","720","706"
"G7X","25,550","13,829","12,829"
"G7Y","628","300","289"
"G7Z","2,638","1,094","1,078"
"G8A","6,033","2,845","2,710"
"G8B","22,060","10,927","10,359"
"G8C","4,412","1,888","1,867"
"G8E","3,837","1,665","1,577"
"G8G","4,121","2,075","1,806"
"G8H","10,040","4,946","4,612"
"G8J","4,259","2,529","1,884"
"G8K","10,089","5,169","4,686"
"G8L","14,282","7,227","6,518"
"G8M","5,173","2,369","2,250"
"G8N","2,511","1,263","1,082"
"G8P","7,310","3,590","3,222"
"G8T","27,831","14,646","14,025"
"G8V","9,956","4,242","4,163"
"G8W","11,010","4,962","4,785"
"G8Y","33,298","16,364","15,794"
"G8Z","13,972","7,785","6,983"
"G9A","20,399","12,524","11,508"
"G9B","18,680","8,252","7,961"
"G9C","4,017","1,636","1,603"
"G9H","13,559","6,345","6,033"
"G9N","16,125","9,676","8,702"
"G9P","11,567","5,881","5,627"
"G9R","2,324","1,058","991"
"G9T","15,940","8,679","8,003"
"G9X","10,610","6,133","5,258"
"H1A","33,158","14,941","14,532"
"H1B","20,651","9,718","9,442"
"H1C","15,085","4,930","4,856"
"H1E","42,568","17,190","16,674"
"H1G","50,989","21,276","20,282"
"H1H","37,847","17,094","16,134"
"H1J","10,587","4,928","4,797"
"H1K","37,304","15,402","14,843"
"H1L","34,612","17,646","16,735"
"H1M","29,352","14,536","13,806"
"H1N","24,444","12,731","12,046"
"H1P","18,118","7,662","7,370"
"H1R","31,259","12,416","11,848"
"H1S","26,715","11,089","10,622"
"H1T","31,318","16,461","15,569"
"H1V","21,908","12,588","11,829"
"H1W","30,004","17,687","16,602"
"H1X","30,178","16,827","15,800"
"H1Y","29,286","16,145","15,217"
"H1Z","36,487","14,837","14,071"
"H2A","19,454","9,248","8,753"
"H2B","18,049","9,341","8,728"
"H2C","17,976","9,001","8,502"
"H2E","23,507","12,660","11,754"
"H2G","22,115","12,862","12,002"
"H2H","14,728","8,542","7,953"
"H2J","27,028","16,179","14,975"
"H2K","29,084","18,011","16,590"
"H2L","27,057","17,542","15,492"
"H2M","18,468","9,440","8,941"
"H2N","6,442","2,936","2,744"
"H2P","14,388","8,017","7,468"
"H2R","22,987","13,379","12,460"
"H2S","27,217","16,198","15,060"
"H2T","16,297","9,219","8,458"
"H2V","31,998","13,860","12,682"
"H2W","11,508","6,881","6,108"
"H2X","21,548","15,925","12,845"
"H2Y","3,727","2,988","2,262"
"H2Z","3,757","3,036","2,349"
"H3A","4,360","3,722","2,680"
"H3B","1,900","1,566","1,136"
"H3C","18,583","13,197","11,178"
"H3E","21,565","10,843","10,288"
"H3G","11,424","9,041","6,878"
"H3H","20,690","15,061","12,347"
"H3J","11,915","6,169","5,627"
"H3K","15,275","8,472","7,835"
"H3L","20,996","10,593","9,857"
"H3M","15,840","6,801","6,447"
"H3N","29,080","13,287","12,308"
"H3P","10,172","3,862","3,700"
"H3R","10,108","3,847","3,591"
"H3S","33,618","16,188","14,794"
"H3T","13,009","7,418","6,510"
"H3V","6,732","4,518","4,007"
"H3W","30,766","13,718","12,706"
"H3X","24,214","11,454","10,526"
"H3Y","9,564","3,665","3,427"
"H3Z","11,544","6,609","5,887"
"H4A","26,362","13,091","12,124"
"H4B","20,937","11,150","10,524"
"H4C","17,301","10,371","9,492"
"H4E","30,154","15,696","14,731"
"H4G","29,860","16,856","15,812"
"H4H","18,936","9,482","8,969"
"H4J","18,075","7,771","7,341"
"H4K","11,319","4,158","4,002"
"H4L","36,216","15,190","14,174"
"H4M","12,466","4,896","4,588"
"H4N","30,199","12,999","12,070"
"H4P","9,106","4,787","4,427"
"H4R","31,132","12,654","12,130"
"H4S","567","226","216"
"H4T","0","2","1"
"H4V","20,701","9,834","9,179"
"H4W","26,359","11,415","10,709"
"H4X","6,467","2,654","2,533"
"H7A","21,639","7,584","7,460"
"H7B","2,957","1,077","1,058"
"H7C","8,816","3,760","3,509"
"H7E","26,590","10,345","10,149"
"H7G","22,054","9,435","9,075"
"H7H","13,865","5,078","5,018"
"H7J","2,161","905","875"
"H7K","22,475","8,406","8,210"
"H7L","37,893","13,780","13,556"
"H7M","27,729","10,868","10,625"
"H7N","44,641","21,408","20,354"
"H7P","37,456","14,684","14,332"
"H7R","31,001","11,519","11,256"
"H7S","7,752","3,332","3,246"
"H7T","28,213","12,129","11,491"
"H7V","23,242","10,593","9,731"
"H7W","42,580","17,932","16,908"
"H7X","27,332","9,843","9,547"
"H7Y","9,978","3,442","3,390"
"H8N","33,207","14,934","14,145"
"H8P","22,980","11,083","10,474"
"H8R","31,491","14,411","13,602"
"H8S","25,686","12,363","11,635"
"H8T","15,270","7,055","6,834"
"H8Y","19,915","7,852","7,625"
"H8Z","15,127","5,822","5,637"
"H9A","15,267","5,392","5,264"
"H9B","21,104","7,757","7,578"
"H9C","11,725","4,211","4,137"
"H9E","3,190","1,256","1,208"
"H9G","15,346","5,852","5,737"
"H9H","25,097","9,638","9,377"
"H9J","21,393","7,684","7,529"
"H9K","8,898","3,087","3,027"
"H9P","3,836","1,547","1,512"
"H9R","26,002","10,270","9,918"
"H9S","22,984","11,143","10,624"
"H9W","19,277","6,915","6,753"
"H9X","9,744","4,057","3,786"
"J0A","19,149","9,020","8,239"
"J0B","65,700","32,981","28,136"
"J0C","23,445","10,332","9,786"
"J0E","51,896","28,558","23,186"
"J0G","18,624","9,267","8,497"
"J0H","52,946","22,956","22,054"
"J0J","42,141","19,527","17,743"
"J0K","149,238","78,999","67,140"
"J0L","83,316","34,423","33,387"
"J0M","25,104","7,885","6,649"
"J0N","52,112","20,731","20,252"
"J0P","42,965","18,635","17,819"
"J0R","39,041","21,353","18,062"
"J0S","34,124","16,563","14,780"
"J0T","51,466","42,290","26,033"
"J0V","27,294","17,146","12,908"
"J0W","16,608","11,615","8,138"
"J0X","48,487","32,403","21,788"
"J0Y","29,035","14,125","12,282"
"J0Z","34,456","17,493","15,058"
"J1A","9,132","4,382","4,115"
"J1C","6,841","2,822","2,754"
"J1E","25,866","13,498","12,658"
"J1G","19,632","9,625","9,139"
"J1H","29,653","17,353","15,597"
"J1J","15,452","7,824","7,301"
"J1K","7,435","4,157","3,450"
"J1L","16,036","8,523","8,214"
"J1M","5,923","3,020","2,624"
"J1N","35,087","14,900","14,511"
"J1R","10,960","4,288","4,219"
"J1S","7,862","3,638","3,439"
"J1T","7,993","4,117","3,873"
"J1X","33,945","18,571","15,965"
"J1Z","5,742","2,269","2,185"
"J2A","12,264","5,093","4,951"
"J2B","33,110","15,949","15,379"
"J2C","29,991","15,040","14,608"
"J2E","4,454","2,052","1,998"
"J2G","28,297","14,957","14,406"
"J2H","22,474","9,256","9,064"
"J2J","18,341","8,601","8,428"
"J2K","18,291","8,632","8,273"
"J2L","11,381","6,263","5,073"
"J2M","7,238","3,091","2,904"
"J2N","10,149","4,697","4,446"
"J2R","10,383","4,516","4,408"
"J2S","29,943","15,567","14,684"
"J2T","17,072","8,076","7,839"
"J2W","28,762","11,325","11,166"
"J2X","20,485","8,758","8,467"
"J2Y","5,576","2,226","2,186"
"J3A","9,136","5,560","5,362"
"J3B","33,908","16,383","15,729"
"J3E","30,045","11,761","11,609"
"J3G","33,664","14,303","14,017"
"J3H","26,673","10,992","10,804"
"J3L","53,680","21,567","21,125"
"J3M","11,345","4,784","4,683"
"J3N","17,053","6,635","6,561"
"J3P","25,025","12,702","12,149"
"J3R","14,452","7,314","7,048"
"J3T","8,620","3,923","3,752"
"J3V","26,050","10,566","10,383"
"J3X","21,198","8,538","8,412"
"J3Y","66,364","27,993","27,238"
"J3Z","5,774","1,842","1,830"
"J4B","41,743","17,733","17,291"
"J4G","10,010","4,827","4,727"
"J4H","15,593","8,582","8,195"
"J4J","31,102","15,546","14,958"
"J4K","27,024","14,003","13,290"
"J4L","31,866","14,338","13,859"
"J4M","13,149","4,989","4,938"
"J4N","11,382","5,258","5,123"
"J4P","11,249","5,771","5,450"
"J4R","10,674","5,199","4,973"
"J4S","6,303","3,166","3,061"
"J4T","19,718","9,007","8,698"
"J4V","17,033","7,541","7,296"
"J4W","18,191","7,523","7,320"
"J4X","19,192","7,471","7,160"
"J4Y","25,459","10,222","9,835"
"J4Z","28,686","12,061","11,572"
"J5A","29,922","11,491","11,301"
"J5B","8,319","3,557","3,475"
"J5C","17,347","7,016","6,909"
"J5J","18,080","7,490","7,211"
"J5K","17,740","6,807","6,632"
"J5L","22,965","9,534","9,330"
"J5M","24,005","9,605","9,279"
"J5N","169","83","74"
"J5R","49,403","20,269","19,780"
"J5T","14,425","5,973","5,838"
"J5V","7,340","3,857","3,659"
"J5W","26,780","10,875","10,662"
"J5X","8,892","3,699","3,587"
"J5Y","30,084","11,237","11,081"
"J5Z","28,005","11,799","11,596"
"J6A","34,313","14,891","14,646"
"J6E","46,434","23,104","22,010"
"J6J","24,855","10,391","10,083"
"J6K","25,960","10,021","9,834"
"J6N","16,014","7,479","7,276"
"J6R","14,626","5,472","5,398"
"J6S","24,765","12,005","11,480"
"J6T","18,022","8,957","8,593"
"J6V","14,621","5,613","5,479"
"J6W","32,422","13,677","13,444"
"J6X","25,257","9,732","9,590"
"J6Y","22,926","8,145","7,976"
"J6Z","19,627","7,795","7,639"
"J7A","14,187","5,368","5,277"
"J7B","13,068","4,496","4,434"
"J7C","46,679","18,343","17,971"
"J7E","29,356","13,886","13,298"
"J7G","17,310","7,383","7,233"
"J7H","8,185","3,706","3,583"
"J7J","27,644","11,847","11,481"
"J7K","36,960","14,977","14,770"
"J7L","14,223","5,313","5,211"
"J7M","24,708","8,884","8,753"
"J7N","33,449","13,660","13,308"
"J7P","25,226","11,068","10,849"
"J7R","37,992","15,804","15,388"
"J7T","29,584","10,677","10,522"
"J7V","69,657","27,935","27,110"
"J7W","14,751","5,786","5,640"
"J7X","5,643","2,453","2,411"
"J7Y","27,006","13,774","13,297"
"J7Z","30,230","15,464","14,740"
"J8A","10,669","5,597","4,683"
"J8B","14,012","8,002","6,897"
"J8C","11,667","7,246","5,754"
"J8E","11,046","8,848","5,435"
"J8G","8,209","5,104","3,821"
"J8H","15,142","7,901","7,098"
"J8L","20,056","9,214","8,552"
"J8M","13,157","5,389","5,241"
"J8N","13,833","7,543","5,609"
"J8P","35,320","16,341","15,679"
"J8R","28,947","11,315","11,050"
"J8T","37,832","18,592","17,667"
"J8V","27,274","10,576","10,223"
"J8X","11,782","7,174","6,130"
"J8Y","23,803","13,386","12,235"
"J8Z","14,814","7,798","7,382"
"J9A","22,508","10,439","9,944"
"J9B","7,999","3,375","3,040"
"J9E","7,664","4,140","3,708"
"J9H","32,921","14,045","13,462"
"J9J","41,342","16,388","15,717"
"J9L","14,164","7,211","6,688"
"J9P","33,008","15,977","15,113"
"J9T","13,221","6,222","5,921"
"J9V","3,409","1,734","1,579"
"J9X","22,993","12,407","11,522"
"J9Y","10,755","4,455","4,169"
"J9Z","7,411","3,717","3,510"
"K0A","111,626","43,737","42,226"
"K0B","21,020","9,489","8,903"
"K0C","52,838","22,714","21,675"
"K0E","39,649","18,426","16,491"
"K0G","39,862","19,411","16,330"
"K0H","47,286","25,346","19,081"
"K0J","34,322","19,885","14,903"
"K0K","115,850","53,153","47,028"
"K0L","78,142","48,786","33,068"
"K0M","53,815","37,422","23,614"
"K1A","594","416","363"
"K1B","17,769","6,866","6,707"
"K1C","37,235","14,312","14,101"
"K1E","14,508","5,863","5,787"
"K1G","35,074","15,333","14,705"
"K1H","16,306","7,289","7,008"
"K1J","28,268","11,423","11,107"
"K1K","32,046","15,235","14,445"
"K1L","18,213","10,797","9,705"
"K1M","6,764","3,341","3,050"
"K1N","26,639","17,122","14,475"
"K1P","645","568","441"
"K1R","20,343","12,836","11,580"
"K1S","31,257","15,662","14,390"
"K1T","40,054","13,967","13,649"
"K1V","57,157","23,359","22,092"
"K1W","13,825","4,730","4,634"
"K1X","4,594","1,575","1,536"
"K1Y","20,712","10,737","10,123"
"K1Z","22,714","11,642","10,791"
"K2A","17,156","7,738","7,491"
"K2B","33,254","15,737","15,034"
"K2C","29,359","13,056","12,395"
"K2E","20,172","8,461","8,129"
"K2G","50,692","18,451","17,934"
"K2H","26,759","11,530","10,950"
"K2J","81,863","27,759","27,343"
"K2K","24,922","9,716","9,451"
"K2L","18,739","7,309","7,199"
"K2M","28,708","10,069","9,954"
"K2P","18,825","14,113","12,550"
"K2R","1,237","424","415"
"K2S","38,903","13,924","13,709"
"K2T","11,871","4,064","3,959"
"K2V","10,486","3,637","3,508"
"K2W","8,553","2,665","2,630"
"K4A","62,125","22,000","21,481"
"K4B","4,704","1,741","1,702"
"K4C","4,538","1,636","1,599"
"K4K","16,958","6,763","6,610"
"K4M","14,380","5,393","5,221"
"K4P","10,448","3,551","3,499"
"K4R","8,740","3,220","3,179"
"K6A","12,529","6,325","6,066"
"K6H","30,440","14,112","13,512"
"K6J","17,827","8,263","7,982"
"K6K","3,452","1,414","1,396"
"K6T","690","264","261"
"K6V","28,174","13,705","13,099"
"K7A","17,575","7,814","7,530"
"K7C","20,382","8,631","8,247"
"K7G","8,740","4,305","3,924"
"K7H","16,175","8,360","7,138"
"K7K","33,705","16,786","15,480"
"K7L","19,621","12,191","9,408"
"K7M","49,268","22,585","21,679"
"K7N","8,395","3,411","3,278"
"K7P","24,660","9,538","9,324"
"K7R","15,480","6,845","6,341"
"K7S","14,265","6,399","6,180"
"K7V","13,943","6,881","6,287"
"K8A","26,392","11,919","11,283"
"K8B","490","176","174"
"K8H","16,188","6,342","5,982"
"K8N","30,393","13,782","13,244"
"K8P","23,166","10,592","10,043"
"K8R","2,012","791","768"
"K8V","28,936","12,523","12,091"
"K9A","26,757","11,937","11,491"
"K9H","29,704","14,391","13,453"
"K9J","44,547","19,998","18,885"
"K9K","13,359","5,226","5,063"
"K9L","7,813","3,099","3,000"
"K9V","29,369","12,949","12,222"
"L0A","15,325","5,729","5,494"
"L0B","15,501","6,072","5,733"
"L0C","9,486","3,537","3,381"
"L0E","21,898","10,072","8,638"
"L0G","44,945","15,980","15,514"
"L0H","1,223","465","436"
"L0J","4,945","1,529","1,456"
"L0K","38,386","22,207","15,846"
"L0L","42,022","19,252","15,670"
"L0M","37,226","14,086","13,274"
"L0N","2,395","894","829"
"L0P","7,779","2,777","2,649"
"L0R","83,602","29,717","29,066"
"L0S","60,409","28,128","24,552"
"L1A","15,845","7,030","6,777"
"L1B","13,203","5,280","5,132"
"L1C","50,217","18,207","17,719"
"L1E","28,325","9,806","9,637"
"L1G","43,497","19,291","18,541"
"L1H","32,298","14,480","13,686"
"L1J","43,107","17,776","17,154"
"L1K","43,574","13,824","13,519"
"L1L","12,976","3,986","3,766"
"L1M","22,542","6,992","6,899"
"L1N","49,649","19,596","19,117"
"L1P","22,928","7,132","6,957"
"L1R","42,221","13,260","13,098"
"L1S","42,045","16,037","15,664"
"L1T","52,632","15,281","14,986"
"L1V","52,787","18,257","17,835"
"L1W","18,433","7,323","7,091"
"L1X","24,639","7,516","7,333"
"L1Y","1,976","730","693"
"L1Z","31,989","8,957","8,838"
"L2A","17,293","7,783","7,277"
